ID,Address,Business Type,Company Name,Local Authorities,Products Sold,Status
17,"Hilton Convenience Store, 120 Hilltown DD3 7BG",Convenience Store,120 Hilltown Ltd. ,Dundee City,Tobacco And Nicotine Vapour Products,Active
18,"12-14 Jeffrey street,  EH1 1DT",Other Retail,Dochgarroch and Santiago ltd,Edinburgh City,Tobacco Only,Active
19,"28a Greenhill Road, Rutherglen G73 2SP",Confectionary / Tobacconist / Newsagents,123 Deli & Shop,South Lanarkshire,Tobacco Only,Inactive
20,"125 Roman road,  ML1 1EA",Convenience Store,S&z store ltd,North Lanarkshire,Tobacco And Nicotine Vapour Products,Active
21,"127 old castle news agent,  G44 5TJ",Other Retail,old castle news agent,Glasgow City,Tobacco Only,Active
22,"131 Station Road,  ML7 4BJ",Confectionary / Tobacconist / Newsagents,David & Isla Brown (Newsagents) t/a 131,North Lanarkshire,Tobacco Only,Inactive
23,"131 station road,  ML7 4BJ",Convenience Store,131 newsagents,North Lanarkshire,Tobacco Only,Active
24,"143 high st,  G1 1PH",Confectionary / Tobacconist / Newsagents,vehniwals,Glasgow City,Tobacco Only,Active
25,"18 Lindsay Drive,  KA3 7LJ",Off-Licence,Premier Stores,North Ayrshire,Tobacco And Nicotine Vapour Products,Active
26,"18 teviot place,  EH1 2QZ",Convenience Store,Le petit marche,Edinburgh City,Tobacco Only,Inactive
27,"192, carseview FK10 2ST",Mobile Trade,KCices,Clackmannanshire,Tobacco Only,Inactive
28,"main street, southerness DG2 8AZ",Public House,19 th hole,Dumfries and Galloway,Tobacco Only,Active
29,"296 main street, bellshill ML4 1AB",Convenience Store,1st 4 convenience,North Lanarkshire,Tobacco Only,Inactive
30,"159 pitkerro road,  DD4 8DH",Convenience Store,1st choice superstore,Dundee City,Tobacco And Nicotine Vapour Products,Active
31,"32-38 Fintry Drive,  DD4 9PB",Convenience Store,1st Stop 2 Shop,Dundee City,Tobacco And Nicotine Vapour Products,Active
32,"81 south street,  DD8 2BS",Convenience Store,1st STOP 2 SHOP,Angus,Tobacco And Nicotine Vapour Products,Active
33,"3 shielhill road,  DD8 4PN",Convenience Store,1st STOP 2 SHOP,Angus,Tobacco Only,Inactive
34,"74-76 Glamis Road,  DD8 5DD",Convenience Store,1st Stop 2 Shop,Angus,Tobacco Only,Active
35,"74-76 GLAMIS ROAD,  DD8 5DD",Convenience Store,SHEENI & ZAKI  LTD,Angus,Tobacco And Nicotine Vapour Products,Active
36,"33 Rossie Island Road,  DD10 9NR",Confectionary / Tobacconist / Newsagents,2go stores ltd,Angus,Tobacco Only,Active
37,"2 Victoria Buildings`, Drumna N63 6TU",Other Retail,Donal Bolger,Highland,Nicotine Vapour Products Only,Active
38,"20 Annsfield Road,  ML3 8BQ",Convenience Store,Shaz CONVENIENCE store Ltd ,South Lanarkshire,Tobacco And Nicotine Vapour Products,Active
39,"21, dalrymple street KA26 9EU",Other Retail,THE LAND OF BARGAINS,South Ayrshire,Nicotine Vapour Products Only,Inactive
40,"SARACEN STREET,  G22 5JW",Convenience Store,SCOTT NEWS,Glasgow City,Tobacco Only,Active
41,"380 Dumbarton Road,  G11 6RZ",Entertainment Venue,Closer To Ltd,Glasgow City,Tobacco Only,Active
42,"404 Byres Road,  G12 8AS",Convenience Store,Dusk til Dawn (Byres) Ltd,Glasgow City,Tobacco Only,Active
43,"sandbank street, maryhill G20 0PQ",Convenience Store,pba superstore,Glasgow City,Tobacco Only,Active
44,"27 Ladymuir Crescent, Pollock G53 5UE",Convenience Store,salvie store ltd,Glasgow City,Tobacco Only,Active
45,"27, Ladymuir crescent G53 5UE",Convenience Store,New sialvie ltd,Glasgow City,Tobacco And Nicotine Vapour Products,Active
46,"29 Royal Exchange Square,  G1 3AJ",Entertainment Venue,One up trading as glenerrol,Glasgow City,Tobacco Only,Active
47,"296 cumbernauld road,  G31 2UL",Convenience Store,ashraif ltd,Glasgow City,Tobacco Only,Active
48,"331, calder road EH11 4AH",Off-Licence,2c drinks n things,Edinburgh City,Tobacco Only,Inactive
49,"3/1 3 Carfin Street,  G42 7QA",Convenience Store,SM PK STORE,Glasgow City,Tobacco Only,Active
50,"67-69 Elmbank Street,  G2 4PQ",Other Catering,3 in 1 Fast Foods Ltd,Glasgow City,Tobacco Only,Active
51,"35 main street roslin,  EH25 9LA",Convenience Store,roslin moni market,Midlothian,Tobacco Only,Active
52,"375a Victoria Road,  G42 8RZ",Other Retail,Ebrahim Ahmed,Glasgow City,Tobacco And Nicotine Vapour Products,Active
53,"M Sharif Supermarked Offsales, 3 Grougar Road, Crookedholm KA3 6LD",Convenience Store,3cornerbestonestore ltd,East Ayrshire,Tobacco And Nicotine Vapour Products,Active
54,"217 High Street,  KY4 9QF",Other Catering,4 aces catering services,Fife,Tobacco Only,Inactive
55,"87 Commercial Road, Gorbals G5 0RG",Convenience Store,4 S News,Glasgow City,Tobacco Only,Active
56,"40 High Street,  PA1 2DQ",Other Catering,Z&S Traders Ltd,Renfrewshire,Tobacco Only,Inactive
57,"40 victoria roads, torry AB11 9DR",Confectionary / Tobacconist / Newsagents,tony newsagents,Aberdeen City,Tobacco Only,Inactive
58,"43 Barnton Street,  FK8 1HF",Convenience Store,43 Barnton Street,Stirling,Tobacco And Nicotine Vapour Products,Active
59,"4-6 Old Sneddon Street,  PA3 2AL",Off-Licence,4-6 Old Sneddon Street,Renfrewshire,Tobacco And Nicotine Vapour Products,Active
60,"St Catherines Crecent,  ML7 4JG",Other Retail,Angies Ices,North Lanarkshire,Tobacco Only,Active
61,"32 Glasgow road, Barrhead G78 1BU",Confectionary / Tobacconist / Newsagents,Red road grocer,East Renfrewshire,Tobacco Only,Active
62,"51 Main Street,  DG8 0PP",Other Catering,Glenluce Post Office and Store,Dumfries and Galloway,Tobacco Only,Active
63,"main street, neilston G78 3NJ",Other Catering,Flames Tandoori Ltd,East Renfrewshire,Tobacco Only,Active
64,"524  George Street,  AB25 3XJ",Public House,524 Bar Ltd,Aberdeen City,Tobacco Only,Active
65,"Aramark Balmacara House, Balmacara IV40 8DH",Other Catering,Aramark,Highland,Tobacco Only,Active
66,"56 North, 2 West Crosscauseway EH8 9JP",Public House,Sutherland Hospitality Limited,Edinburgh City,Tobacco Only,Active
67,"60-62 Main Road, Kirkoswald KA19 8HY",Convenience Store,Kirkoswald P.O. and General Store,South Ayrshire,Tobacco Only,Inactive
68,"275/277, Broughty Ferry DD5 2AG",Confectionary / Tobacconist / Newsagents,Farooq Traders Ltd,Dundee City,Tobacco And Nicotine Vapour Products,Active
69,"325, Hilltown DD3 7AQ",Confectionary / Tobacconist / Newsagents,Farooq Traders Ltd,Dundee City,Tobacco And Nicotine Vapour Products,Active
70,"383 sauchiehall street, glasgow G2 3HU",Confectionary / Tobacconist / Newsagents,7 Days News,Glasgow City,Tobacco Only,Active
71,"6 kenneder drive,  G51 4PT",Other Retail,7 eleven news,Glasgow City,Tobacco Only,Active
72,"18 quarrywood avenue, Barrmulloch G21 3ES",Other Catering,7 star spices,Glasgow City,Tobacco Only,Active
73,"ECO HOUSE, WESTER GOURDIE IND. ESTATE, NOBEL ROAD DD2 4XE",Other Retail,710 VACS LIMITED,Dundee City,Tobacco And Nicotine Vapour Products,Active
74,"Post Office, Main Street KW3 6AE",Confectionary / Tobacconist / Newsagents,727 Newsagent,Highland,Tobacco And Nicotine Vapour Products,Active
75,"71 South Bridge Street,  EH48 1TJ",Convenience Store,A.Brothers Company Limited,West Lothian,Tobacco Only,Inactive
76,"232 paisley road, renfrew PA4 8AA",Convenience Store,7to7,Renfrewshire,Tobacco Only,Inactive
77,"7/9 , CHURCH ST KY11 1LG",Convenience Store,8-2-8,Fife,Tobacco And Nicotine Vapour Products,Inactive
78,"Naval Families Estate, 51 Sherbrooke Road KY11 2YR",Convenience Store,Aramark,Fife,Tobacco Only,Inactive
79,"RAF Kinloss, Forres IV36 0KG",Convenience Store,Aramark,Moray,Tobacco Only,Active
80,"Aramark Block 211, RM Condor DD11 3SJ",Convenience Store,Aramark,Angus,Tobacco Only,Active
81,"CBDCartel.co.uk, 86 Victoria Road AB11 9DT",Other Retail,animus Concia limited,Aberdeen City,Nicotine Vapour Products Only,Active
82,"WORKSHOP / 86, UNION STREET KY4 0EF",Other Retail,VDS,Fife,Nicotine Vapour Products Only,Active
83,"99 Hanover Street,  EH2 1DJ",Public House,99 Hanover Street Limited,Edinburgh City,Tobacco Only,Inactive
84,"88 High Street,,  EH44 6HF",Confectionary / Tobacconist / Newsagents,A & A Caldwell,Scottish Borders,Tobacco Only,Active
85,"32 Harris Court,  FK10 1DD",Convenience Store,A & A Mini Market Ltd,Clackmannanshire,Tobacco Only,Active
86,"2 HIGH STREET ,  FK10 1JE",Confectionary / Tobacconist / Newsagents,Hasan stores limited ,Clackmannanshire,Tobacco And Nicotine Vapour Products,Active
87,"2 high street,  FK10 1JE",Confectionary / Tobacconist / Newsagents,hasan stores ltd,Clackmannanshire,Tobacco Only,Active
88,"The Square, Castlebay HS9 5XD",Other Retail,A & C MacLean,Comhairle nan Eilean Siar,Tobacco Only,Active
89,"CENTRAL GARAGE, 64 MAIN STREET ML11 8AA",Forecourt Garage,A & C ROSS,South Lanarkshire,Tobacco Only,Active
90,"314 KING STREET,  AB24 5BJ",Convenience Store,A & C Smart Ltd,Aberdeen City,Tobacco Only,Active
91,"324 High Street,  KY6 3AT",Mobile Trade,A & K Ices,Fife,Tobacco Only,Active
92,"2160-2162 dumbarton road,  G14 0JJ",Convenience Store,A & M convenience store,Glasgow City,Tobacco Only,Active
93,"23 Buccleuch st,  DG1 2AT",Confectionary / Tobacconist / Newsagents,A & M Edgars,Dumfries and Galloway,Tobacco Only,Active
94,"38-42 HAMILTON CRESCENT, NEWTONGRANGE EH22 4BU",Convenience Store,A & M TRENCH & SON,Midlothian,Tobacco Only,Active
95,"86/88 Mayfield Road,  EH9 3AF",Convenience Store,A & P Savile Store,Edinburgh City,Tobacco Only,Inactive
96,"102 Motherwell St,  ML6 7EJ",Off-Licence,A & R Stores,North Lanarkshire,Tobacco Only,Active
97,"Craighill View,  EH48 3SY",Convenience Store,A & S Convenience Store,West Lothian,Tobacco Only,Active
98,"18 West Boreland Road, Denny FK6 6NY",Convenience Store,A & Z Stores,Falkirk,Tobacco Only,Inactive
99,"A & Z Stores, 18 West Boreland Road FK6 6NY",Convenience Store,A & Z Stores ,Falkirk,Tobacco And Nicotine Vapour Products,Active
100,"106 Glasgow Road,  FK6 5DN",Convenience Store,A A Newsagents,Falkirk,Tobacco Only,Active
101,"84 BRIDGEND ROAD,  PA15 2JJ",Confectionary / Tobacconist / Newsagents,a and r grocers,Inverclyde,Tobacco Only,Inactive
102,"118 Hillside Drive,  DG9 7PW",Convenience Store,A and R McCulloch,Dumfries and Galloway,Tobacco Only,Active
103,"55 Central Avenue,  KA10 7AZ",Convenience Store,A C Currie Ltd t/a Keystore,South Ayrshire,Tobacco And Nicotine Vapour Products,Active
104,"MAIN STREET, EAST TARBERT HS3 3AL",Convenience Store,A D MUNRO HARRIS LTD,Comhairle nan Eilean Siar,Tobacco Only,Inactive
105,"265 - 267 Byres Road,  G12 8TL",Confectionary / Tobacconist / Newsagents,A F & J Barrett,Glasgow City,Tobacco Only,Active
106,"158 ST LEONARDS STREET,  ML11 7DX",Mobile Trade,A F K CATERING LTD,South Lanarkshire,Tobacco Only,Active
107,"11 Queen Street,  AB42 3DS",Specialist Tobacconists,A F Yule,Aberdeenshire,Tobacco And Nicotine Vapour Products,Active
108,"11 DALRYMPLE STREET,  KA26 9EU",Confectionary / Tobacconist / Newsagents,A G DUNLOP NEWSAGENTS,South Ayrshire,Tobacco And Nicotine Vapour Products,Active
109,"East Isle, Skerries ZE2 9AR",Confectionary / Tobacconist / Newsagents,A Humphray,Shetland Islands,Tobacco Only,Active
110,"97 CAMPERDOWN ROAD,  DD3 8RF",Confectionary / Tobacconist / Newsagents,DAVID WALDIE LTD,Dundee City,Tobacco And Nicotine Vapour Products,Active
111,"12, HIGH STREET DG10 9HF",Confectionary / Tobacconist / Newsagents,A M GRIEVE NEWSAGENTS,Dumfries and Galloway,Tobacco And Nicotine Vapour Products,Active
112,"High Street, Gifford EH41 4QU",Confectionary / Tobacconist / Newsagents,A M Hogg,East Lothian,Tobacco Only,Active
113,"126 Dukes Road,,  G73 5AF",Convenience Store,A N F Newsagents,South Lanarkshire,Tobacco Only,Inactive
114,"92 Glenhove Road, Cumbernauld G67 2LA",Convenience Store,A R Mini Market Ltd,North Lanarkshire,Tobacco And Nicotine Vapour Products,Active
115,"TYRIE COTTAGE, 14 STATION ROAD KY5 9QW",Mobile Trade,A P MACARI,Fife,Tobacco Only,Active
116,"Gulam Rasul & Son, 114-116 West Princes Street G84 8XD",Convenience Store,A R Mini Market Ltd,Renfrewshire,Tobacco And Nicotine Vapour Products,Active
117,"7 bain street, gallowgate G40 2JZ",Confectionary / Tobacconist / Newsagents,a r traders,Glasgow City,Tobacco Only,Active
118,"1a Dock Place,  EH6 6LU",Restaurant,archie and richie ltd,Edinburgh City,Tobacco Only,Active
119,"5 GARTLEAHILL,  ML6 9LE",Convenience Store,A SHAKOOR & SON,North Lanarkshire,Tobacco Only,Active
120,"63/65 Main Street,  EH37 5PZ",Other Retail,albert Wahlberg & Sons,Midlothian,Tobacco Only,Active
121,"132 Tweedsmuir Road, Cardonald G52 2RY",Off-Licence,A Wee Dram,Glasgow City,Tobacco Only,Active
122,"44, Sinclair Drive G42 9QE",Off-Licence,A Wee Dram,Glasgow City,Tobacco Only,Active
123,"6-8 Webster Street, Whitecrook G81 1AZ",Off-Licence,A Z Superstore,West Dunbartonshire,Tobacco Only,Active
124,"1 South Clerk Street,  EH8 9JD",Off-Licence,A&A Bargain Store,Edinburgh City,Tobacco Only,Active
125,"824 Mosspark Drive, Cardonald G52 3DA",Convenience Store,A&A Chaudry,Glasgow City,Tobacco Only,Active
126,"52 Easter Road,  EH7 5RQ",Confectionary / Tobacconist / Newsagents,A&A Foodstore,Edinburgh City,Tobacco Only,Inactive
127,"13 Carrick Place, Tamfourhill FK1 4SB",Mobile Trade,A&A Ices,Falkirk,Tobacco Only,Active
128,"41 South Trinity Road,  EH5 3PN",Convenience Store,A&A Newsagents,Edinburgh City,Tobacco Only,Active
129,"75-79 king street crieff,  PH7 3HB",Confectionary / Tobacconist / Newsagents,A&ANewsagents/Premier&post office,Perth and Kinross,Tobacco And Nicotine Vapour Products,Active
130,"A & A Stores, 24 High Street East KY10 3DQ",Convenience Store,lawhill services ltd,Fife,Tobacco And Nicotine Vapour Products,Active
131,"2A White Hill Avenue,  G66 2JJ",Off-Licence,A&A Super Stores,East Dunbartonshire,Tobacco And Nicotine Vapour Products,Inactive
132,"92 Glenhove Road,  G67 2LA",Off-Licence,A&A Super Stores,North Lanarkshire,Tobacco Only,Active
133,"12 hazel avenue,  G82 5BW",Mobile Trade,A&B ices,West Dunbartonshire,Tobacco Only,Active
134,"Unit 4, South Elgin Street G81 1PL",Mobile Trade,A&B Partnership,West Dunbartonshire,Tobacco Only,Active
135,"61 Larkfield Road,  PA19 1YB",Convenience Store,A&D Stores,Inverclyde,Tobacco Only,Inactive
136,"Fultons Stores, 61 Larkfield Road PA19 1YB",Convenience Store,A&D stores (Gourock)ltd,Inverclyde,Tobacco And Nicotine Vapour Products,Active
137,"17 Lamont Crescent, Fallin FK7 7EJ",Mobile Trade,A&E Ices,Stirling,Tobacco Only,Active
138,"Paccitti Sweet Shop, 126 Dukes Road, Rutherglen G73 5AF",Confectionary / Tobacconist / Newsagents,A&F Newsagents,South Lanarkshire,Tobacco And Nicotine Vapour Products,Active
139,"40 Deacons Road, Kilsyth G65 0BN",Convenience Store,A&F scotland ltd,North Lanarkshire,Tobacco Only,Inactive
140,"1B RASHIEHILL TERRACE, BREICH EH55 8JL",Off-Licence,A&H CONVENIENCE STORE LTD.,West Lothian,Tobacco Only,Active
141,"161-163 Low Waters Road,  ML3 7QQ",Confectionary / Tobacconist / Newsagents,A&H Newsagents,South Lanarkshire,Tobacco Only,Inactive
142,"76 Muir Street,  ML9 2BQ",Confectionary / Tobacconist / Newsagents,A&H Newsagents,South Lanarkshire,Tobacco Only,Inactive
143,"163 Low Waters Road,  ML3 7QQ",Confectionary / Tobacconist / Newsagents,A&H Newsagents,South Lanarkshire,Tobacco And Nicotine Vapour Products,Active
144,"170 Main Street,  KA9 1PG",Confectionary / Tobacconist / Newsagents,A&H Phillip,South Ayrshire,Tobacco Only,Active
145,"Carn Raineach, Camustiel IV54 8LT",Confectionary / Tobacconist / Newsagents,A&J Brown Grocers,Highland,Tobacco Only,Active
146,"27 South Street,  EH51 9HE",Confectionary / Tobacconist / Newsagents,A&J Newsagents,Falkirk,Tobacco And Nicotine Vapour Products,Active
147,"19 Main Street,  FK7 9AW",Other Catering,A&J Snacks,Stirling,Tobacco Only,Inactive
148,"17, Justice street AB11 5HS",Convenience Store,A&k stores,Aberdeen City,Tobacco And Nicotine Vapour Products,Active
149,"12 The Square,  KA18 1BG",Confectionary / Tobacconist / Newsagents,A&L Bryce,East Ayrshire,Tobacco And Nicotine Vapour Products,Active
150,"18 Hospital Hill,  KY11 3AT",Confectionary / Tobacconist / Newsagents,A&L Newsagents,Fife,Tobacco Only,Inactive
151,"3 Stuart Street,  KA28 0AN",Confectionary / Tobacconist / Newsagents,A&M Caldwell,North Ayrshire,Tobacco Only,Active
152,"64 Philip Avenue, Boghall EH48 1NG",Convenience Store,A&N Stores,West Lothian,Tobacco Only,Inactive
153,"126 Cumbrae Drive,  FK1 4AW",Convenience Store,a&o rana licened grocers,Falkirk,Tobacco And Nicotine Vapour Products,Active
154,"78 High Street,  ML12 6BJ",Confectionary / Tobacconist / Newsagents,A&P Jamieson t/a Ian Hamilton,South Lanarkshire,Tobacco Only,Inactive
155,"135  pitkerro road, 135 pitkerro road DD4 8EB",Confectionary / Tobacconist / Newsagents,a&r  newsagents,Dundee City,Tobacco And Nicotine Vapour Products,Active
156,"218 newhaven road,  EH6 4QE",Confectionary / Tobacconist / Newsagents,a&r supermarket,Edinburgh City,Tobacco And Nicotine Vapour Products,Active
157,"138 Graham Road,  FK2 7BZ",Convenience Store,A&S Asian Grocers (Halal Continental Food Store),Falkirk,Tobacco Only,Active
158,"72 Sheephousehill , FAULDHOUSE EH47 9EF",Convenience Store,A&S Convenience Scotland Ltd,West Lothian,Tobacco And Nicotine Vapour Products,Active
159,"72 Sheephouse Hill, Fauldhouse EH47 9EF",Convenience Store,A&S Convenience Store,West Lothian,Tobacco Only,Inactive
160,"152 sinclair dr, battlefield G42 9SF",Confectionary / Tobacconist / Newsagents,a&s newsagents,Glasgow City,Tobacco Only,Active
161,"18 Barlandfauld Steet,  G65 0BU",Convenience Store,A&S Superstore,North Lanarkshire,Tobacco Only,Active
162,"2 lochies road,  FK10 4EL",Confectionary / Tobacconist / Newsagents,A&T FOODSTORES,Clackmannanshire,Tobacco And Nicotine Vapour Products,Active
163,"93 Bannerfield Drive,  TD7 5BG",Convenience Store,A&Z Superstores,Scottish Borders,Tobacco Only,Active
164,"A & Z  Superstore, 93 Bannerfield Drive TD7 5BG",Convenience Store,Premier,Scottish Borders,Nicotine Vapour Products Only,Active
165,"5 Castle Street,  DG11 1NY",Confectionary / Tobacconist / Newsagents,A. Crolla & Sons,Dumfries and Galloway,Tobacco Only,Active
166,"22 Hairst street, Renfrew PA4 8QY",Confectionary / Tobacconist / Newsagents,A.Y. (GRP 3) News Limited,Renfrewshire,Tobacco And Nicotine Vapour Products,Active
167,"5 Tiree Crecent, Newmains ML2 9HF",Convenience Store,A.A Brothers Newsagents,North Lanarkshire,Tobacco And Nicotine Vapour Products,Active
168,"53 Lomond Drive, Bishopbriggs G64 3BY",Convenience Store,A.A Mini Market,East Dunbartonshire,Tobacco Only,Active
169,"155 Deanston Drive, Shawlands G41 3LP",Confectionary / Tobacconist / Newsagents,A.B and Sons,Glasgow City,Tobacco Only,Active
170,"A D Munro Harris Ltd, Tarbert HS3 3DJ",Confectionary / Tobacconist / Newsagents,A.D Munro Ltd,Comhairle nan Eilean Siar,Tobacco And Nicotine Vapour Products,Active
171,"12 MONKLAND ROAD,  EH48 2BQ",Off-Licence,A.G.S (GB) LTD,West Lothian,Tobacco Only,Active
172,"14 Lamont Way, Knightsridge EH54 8LF",Convenience Store,A.G.S. Foodstore,West Lothian,Tobacco Only,Active
173,"182 Crown street, Ferryhill AB11 6JD",Convenience Store,A.I & S Wells ltd,Aberdeen City,Tobacco Only,Inactive
174,"17 Mid Shore, Pittenweem KY10 2NL",Confectionary / Tobacconist / Newsagents,A.J Nicholson,Fife,Tobacco Only,Inactive
175,"214-216 Low Waters Road,  ML3 7QR",Convenience Store,N.S Stores,South Lanarkshire,Tobacco Only,Inactive
176,"100 Sprinboig Road, Springboig G32 0JX",Convenience Store,A.K Brothers,Glasgow City,Tobacco Only,Active
177,"25 Old Coach Road, East Mains G74 4DS",Confectionary / Tobacconist / Newsagents,A.M News,South Lanarkshire,Tobacco And Nicotine Vapour Products,Active
178,"29/31, main street PA28 6AD",Convenience Store,karensa glendinning t/a a.mckellar grocers,Argyll and Bute,Tobacco Only,Active
179,"58 - 60 MAIN STREET, SANDHEAD DG9 9JQ",Convenience Store,A.McKENZIE & SONS,Dumfries and Galloway,Tobacco And Nicotine Vapour Products,Active
180,"225 hamilton road, cambuslang G72 7PH",Confectionary / Tobacconist / Newsagents,a.news,South Lanarkshire,Tobacco Only,Active
181,"32 Main Street,  EH55 8DR",Confectionary / Tobacconist / Newsagents,A.R. Douglas,West Lothian,Tobacco Only,Active
182,"59 Mayfield Road,  EH9 3AA",Convenience Store,A.S Mini Market,Edinburgh City,Tobacco And Nicotine Vapour Products,Active
183,"380 PAISLEY ROAD WEST,  G51 1BG",Off-Licence,A-1 OFFSALES,Glasgow City,Tobacco Only,Active
184,"46 Magdalene Drive,  EH15 3DZ",Confectionary / Tobacconist / Newsagents,A1 Store,Edinburgh City,Tobacco Only,Inactive
185,"2 woodhill road, bishopbriggs G41 1JN",Off-Licence,a1 supermarket,East Dunbartonshire,Tobacco And Nicotine Vapour Products,Active
186,"151 MANSE RD,  G65 0EU",Convenience Store,A1TRADERS,North Lanarkshire,Tobacco Only,Inactive
187,"33 SUMMERHILL DRIVE,  AB15 6EQ",Off-Licence,A19 STORES LTD,Aberdeen City,Tobacco And Nicotine Vapour Products,Active
188,"1 goodhope park,  AB21 9NE",Off-Licence,A19 STORES LTD,Aberdeen City,Tobacco And Nicotine Vapour Products,Active
189,"2081 paisley road west, 2081 paisley road west G52 3JH",Convenience Store,aa brother,Glasgow City,Tobacco Only,Inactive
190,"11 barnsdale road,  FK7 0PT",Convenience Store,AA newsagent,Stirling,Tobacco Only,Inactive
191,"11 Barnsdale Road,  FK7 0PT",Convenience Store,AA newsagent ,Stirling,Tobacco And Nicotine Vapour Products,Active
192,"UNIT 94, THE CENTRE EH54 6HR",Confectionary / Tobacconist / Newsagents,AA RETAIL LTD,West Lothian,Tobacco Only,Active
193,"Star News, 18 Grantlea Terrace G32 9JN",Confectionary / Tobacconist / Newsagents,AA Star News & Grocers,Glasgow City,Tobacco And Nicotine Vapour Products,Active
194,"33 scotstoun road, cowie FK7 7AL",Convenience Store,aa store,Stirling,Tobacco And Nicotine Vapour Products,Active
195,"Daytoday, 43 Farm Road G73 9DT",Convenience Store,AA Superstore Ltd,South Lanarkshire,Tobacco And Nicotine Vapour Products,Active
196,"115 Carstairs street, Bridgeton G40 4JQ",Mobile Trade,Giovanni Porelli,Glasgow City,Tobacco Only,Active
197,"49 Bridge Street,  AB35 5QD",Confectionary / Tobacconist / Newsagents,A B Yule Newsagents,Aberdeenshire,Tobacco Only,Active
198,"65 South Clerk Street,  EH8 9PP",Public House,Cherwell Tobacco,Edinburgh City,Tobacco Only,Active
199,"Rhymers Fare, 17 Market Square TD6 9PL",Other Retail,Rhymers Fayre,Scottish Borders,Tobacco Only,Active
200,"28 Constitution Street,  DD3 6NB",Confectionary / Tobacconist / Newsagents,Abbey Newsagents,Dundee City,Tobacco Only,Inactive
201,"Unit 12, 5 Allan Crescent KY11 4HE",Other Retail,Abbeyvapes,Fife,Nicotine Vapour Products Only,Active
202,"Abbots Brae Hotel, 55 Bullwood Road PA23 7QJ",Hotel,Abbots Brae Hotel,Argyll and Bute,Tobacco Only,Inactive
203,"Stirling Road,  G82 2PJ",Hotel,Marjor Hotel Ltd,West Dunbartonshire,Tobacco Only,Inactive
204,"51 INCHINNAN ROAD, RENFREW PA4 9AE",Forecourt Garage,DULAI FUELS LTD,Renfrewshire,Tobacco And Nicotine Vapour Products,Active
205,"19 -21 Balnagask Road,  AB11 8HU",Convenience Store,Abbys News,Aberdeen City,Tobacco Only,Inactive
206,"201 portobello High Street,  EH15 1EU",Convenience Store,Abdul Qayyum,Edinburgh City,Tobacco And Nicotine Vapour Products,Active
207,"2-6 wellesley road,  KY8 3AE",Confectionary / Tobacconist / Newsagents,NILA RETAIL LIMITED,Fife,Tobacco And Nicotine Vapour Products,Active
208,"112 Main Street, Aberchirder AB54 7TD",Convenience Store,The Co-operative Group Food Ltd,Aberdeenshire,Tobacco And Nicotine Vapour Products,Active
209,"Forgan Roundabout, A92,  DD6 8RB",Forecourt Garage,S F Retail LTD,Fife,Tobacco And Nicotine Vapour Products,Active
