"","Address","BusinessType","ProductSold","CompanyName","Status"
"6974","West Langlands Street,  KA1 2PY, Scotland","East Ayrshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6975","West Langlands Street,  KA1 2PY, Scotland","East Ayrshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6976","Hope Street,  FK1 5BU, Scotland","Falkirk","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6977","Hope Street,  FK1 5BU, Scotland","Falkirk","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6978","Paisley Road, Cardonald G52 3TP, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6979","16 Thread Street,  PA1 1GZ, Scotland","Renfrewshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6980","16 Thread Street,  PA1 1GZ, Scotland","Renfrewshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6981","1 Afton Way,  DD4 8BR, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6982","1 Afton Way,  DD4 8BR, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6983","3 Waterfront Broadway,  EH5 1SA, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6984","3 Waterfront Broadway,  EH5 1SA, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6985","New Park Street,  ML3 OBN, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6986","New Park Street,  ML3 OBN, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6987","Wm Morrison Supermarkets plc, 1 Retail Park South, Almondvale Road EH54 6GH, Scotland","West Lothian","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6988","Wm Morrison Supermarkets plc, 1 Retail Park South, Almondvale Road EH54 6GH, Scotland","West Lothian","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6989","Auchinlea Way,  G34 9JJ, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6990","Auchinlea Way,  G34 9JJ, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6991","Napier Street,  PA5 8SF, Scotland","Renfrewshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6992","Napier Street,  PA5 8SF, Scotland","Renfrewshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6993","130 West North Street,  AB24 5AR, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6994","215 King Street,  AB24 5DA, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6995","Gartlea Road,  ML6 9JL, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6996","Gartlea Road,  ML6 9JL, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6997","Clackmannan Road,  FK10 1RQ, Scotland","Clackmannanshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6998","Clackmannan Road,  FK10 1RQ, Scotland","Clackmannanshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"6999","Dalmore Road,  IV17 0UY, Scotland","Highland","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7000","Dalmore Road,  IV17 0UY, Scotland","Highland","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7001","Hume Street,  DD11 1UH, Scotland","Angus","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7002","Hume Street,  DD11 1UH, Scotland","Angus","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7003","Castlehill Road,  KA7 2HT, Scotland","South Ayrshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7004","Castlehill Road,  KA7 2HT, Scotland","South Ayrshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7005","John Street,  ML4 1RJ, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7006","John Street,  ML4 1RJ, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7007","Glasgow Road,  G82 1QZ, Scotland","West Dunbartonshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7008","Glasgow Road,  G82 1QZ, Scotland","West Dunbartonshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7009","Brooms Road,  DG1 2SH, Scotland","Dumfries and Galloway","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7010","Brooms Road,  DG1 2SH, Scotland","Dumfries and Galloway","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7011","Greenhill Road, Lindsayfield G75 9DE, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7012","Greenhill Road, Lindsayfield G75 9DE, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7013","Macneish Way,  G74 4TT, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7014","Macneish Way,  G74 4TT, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7015","Pilton Drive,  EH5 2HF, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7016","Pilton Drive,  EH5 2HF, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7017","New Swanston,  EH10 7JA, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7018","Gilmerton Road,  EH17 7JQ, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7019","Gilmerton Road,  EH17 7JQ, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7020","4 Piersfield Terrace, Portbello Road EH8 7BQ, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7021","4 Piersfield Terrace, Portobello Road EH8 7BQ, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7022","Gyle Avenue, South Gyle Broadway EH12 9JU, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7023","Gyle Avenue, South Gyle Broadway EH12 9JU, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7024","An Aird,  PH33 6AN, Scotland","Highland","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7025","An Aird,  PH33 6AN, Scotland","Highland","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7026","Crow Road, Anniesland G13 1JD, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7027","Crow Road, Anniesland G13 1JD, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7028","Ravenswood Road,  G69 7HU, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7029","Ravenswood Road,  G69 7HU, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7030","Triangle Centre, Bishopbriggs G64 2TR, Scotland","East Dunbartonshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7031","Bridge Street, Cambuslang G72 7EA, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7032","Bridge Street, Cambuslang G72 7EA, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7033","Riverford Road, Newlands G43 1PU, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7034","Riverford Road, Newlands G43 1PU, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7035","Flemington Road,  KY7 5QF, Scotland","Fife","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7036","Flemington Road,  KY7 5QF, Scotland","Fife","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7037","Rue end Street,  PA15 1EL, Scotland","Inverclyde","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7038","Rue end Street,  PA15 1EL, Scotland","Inverclyde","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7039","Mart Street,  TD9 9NQ, Scotland","Scottish Borders","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7040","Mart Street,  TD9 9NQ, Scotland","Scottish Borders","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7041","Milburn Road,  IV2 3PX, Scotland","Highland","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7042","Milburn Road,  IV2 3PX, Scotland","Highland","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7043","Blackhall Road,  AB51 4JP, Scotland","Aberdeenshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7044","Blackhall Road,  AB51 4JP, Scotland","Aberdeenshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7045","Irvine Road,  KA30 8JT, Scotland","North Ayrshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7046"," Neilston Road,  PA2 6QH, Scotland","Renfrewshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7047","Falside Road,  PA2 6JE, Scotland","Renfrewshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7048","Caledonain Road,  PH1 5XD, Scotland","Perth and Kinross","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7049","Caledonain Road,  PH1 5XD, Scotland","Perth and Kinross","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7050","Hay Crescent,  AB42 1HH, Scotland","Aberdeenshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7051","Hay Crescent,  AB42 1HH, Scotland","Aberdeenshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7052","Largo Road,  KY16 8PJ, Scotland","Fife","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7053","Largo Road,  KY16 8PJ, Scotland","Fife","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7054","Kilwinning Road,  KA20 3DE, Scotland","North Ayrshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7055","Kilwinning Road,  KA20 3DE, Scotland","North Ayrshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7056","Munro Road, Springkerse FK7 7UU, Scotland","Stirling","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7057","Munro Road, Springkerse FK7 7UU, Scotland","Stirling","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7058","London Road,  DG9 8ES, Scotland","Dumfries and Galloway","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7059","London Road,  DG9 8ES, Scotland","Dumfries and Galloway","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7060","Dukes Road,  KA10 6QR, Scotland","South Ayrshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7061","Dukes Road,  KA10 6QR, Scotland","South Ayrshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7062","Kirk Road,  ML2 7BJ, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7063","Kirk Road,  ML2 7BJ, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7064","Titwood Road, Crossmyloof G41 4DA, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7065","Merkland Court,  G11 6BZ, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7066","Carmondean Centre,  EH54 8BT, Scotland","West Lothian","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7067","2 Linkston Way,  EH48 2XN, Scotland","West Lothian","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7068","2 Linkston Way,  EH48 2XN, Scotland","West Lothian","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7069","Bridgwater Shopping Centre,  PA8 7AA, Scotland","Renfrewshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7070","Main Street,  KY4 9QW, Scotland","Fife","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7071","42 John Street,  PA23 8BJ, Scotland","Argyll and Bute","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7072","Vincents Place,  ML11 7LA, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7073","14 Eskbank Road,  EH22 1HQ, Scotland","Midlothian","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7074","5 Barrack Street,  G4 0TZ, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7075","439 Esplanade,  KY1 1SL, Scotland","Fife","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7076","439 Esplanade, ,,  KY1 1SL, Scotland","Fife","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7077","North Deeside Road,  AB31 5YR, Scotland","Aberdeenshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7078","North Deeside Road,  AB31 5YR, Scotland","Aberdeenshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7079","Fenwick Road, Giffnock G46 6AA, Scotland","East Renfrewshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7080","Fenwick Road, Giffnock G46 6AA, Scotland","East Renfrewshire","Tobacco And Nicotine Vapour Products","William Morrisons PLC","Active"
"7081","Glasgow Road, Whins of Milton FK7 8HQ, Scotland","Stirling","Tobacco And Nicotine Vapour Products","Morrisons Garage Ltd","Active"
"7082","Whins of Milton,  FK7 8HQ, Scotland","Stirling","Tobacco And Nicotine Vapour Products","Morrisons Garage Limited","Active"
"7083","Units 1&2, , Raith Centre KY4 8LW, Scotland","Fife","Nicotine Vapour Products Only","William Morrisons PLC","Active"
"7084","The Square, Oldmeldrum AB51 0DS, Scotland","Aberdeenshire","Tobacco Only","R&L Philip T/A Morris's Hotel","Active"
"7085","85 charleston drive, menzieshill DD2 2HB, Scotland","Dundee City","Tobacco And Nicotine Vapour Products","mortali newsagents","Active"
"7086","38 Mortonhall Gate, Frogston Road East EH16 6TJ, Scotland","Edinburgh City","Tobacco Only","Meadowhead Ltd","Active"
"7087","morvern avenue,  KA3 1NQ, Scotland","East Ayrshire","Tobacco Only","Tiger Bites","Active"
"7088","254 GREAT WESTERN ROAD, WOODLANDS G43 2DT, Scotland","Glasgow City","Tobacco Only","MO'S 24 HR STORE","Active"
"7089","293 HILLTOWN,  DD3 7AQ, Scotland","Dundee City","Tobacco Only","BA RETAIL LTD","Inactive"
"7090","Foxton Drive, GLENROTHES KY7 4UZ, Scotland","Fife","Tobacco Only","BELHAVEN LEASED PUBS","Active"
"7091","843 Govan Road,  G51 3DL, Scotland","Glasgow City","Tobacco Only","Mo's News","Active"
"7092","55 Liddlesdale Square,  G22 7BT, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","Closer","Active"
"7093","200 Bath Street,  G2 4HG, Scotland","Glasgow City","Tobacco Only","Chain Reaction Ents Ltd","Active"
"7094","8 moss road, lenzie G66 4HY, Scotland","East Dunbartonshire","Tobacco Only","moss general store","Active"
"7095","6 Moss Road, Lenzie G66 4HY, Scotland","East Dunbartonshire","Tobacco Only","Moss Road Newsagaents","Active"
"7096","Mossbank,  ZE2 9RB, Scotland","Shetland Islands","Tobacco Only","Mossbank Public Hall","Active"
"7097","North lea,  ZE2 9RB, Scotland","Shetland Islands","Tobacco And Nicotine Vapour Products","delting site services Ltd","Active"
"7098","MOSSGREEN CONVENIENCE STORE, 1 MOSSGREEN KY4 8BU, Scotland","Fife","Tobacco And Nicotine Vapour Products","Kilmartin williams","Active"
"7099","1 Mossgreen, Crossgates KY4 8BU, Scotland","Fife","Tobacco Only","Mossgreen Store","Inactive"
"7100","Mosshall service station, 55 West Main Street, Blackburn EH47 7LX, Scotland","West Lothian","Tobacco And Nicotine Vapour Products","Malik Petroleum Ltd","Active"
"7101","Mosshead General Stores, 4 Mosshead Road, Bearsden G61 3EP, Scotland","East Dunbartonshire","Tobacco Only","Mosshead CDW LTD","Active"
"7102","198 Mosspark Drive,  G52 1JS, Scotland","Glasgow City","Tobacco Only","Mosspark Newsagent + Marina Mini Market","Active"
"7103","Usave, 198 Mosspark Drive G52 1JS, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","Mosspark newsagents","Active"
"7104","Main Road, Mosstodloch  IV32 7LH, Scotland","Moray","Tobacco And Nicotine Vapour Products","Mosstodloch Service Station","Active"
"7105","31 dewhurst rd,  BL2 3NF, Scotland","Dumfries and Galloway, Scottish Borders","Tobacco Only","mother hen sweetie den","Active"
"7106","5 Blairlinn road, Blairlinn industrial estate G67 2KT, Scotland","North Lanarkshire","Tobacco Only","D&L catering","Active"
"7107","Watson Street,  ML1 1YR, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","Asda Stores Ltd","Active"
"7108","B & M Bargains Ltd, 54 Brandon Parade South ML1 1RB, Scotland","North Lanarkshire","Nicotine Vapour Products Only","B&M RETAIL","Active"
"7109","91 airbles road motherwell,  ML1 2TJ, Scotland","North Lanarkshire","Tobacco Only","Al Muhymin and c/o limited","Active"
"7110","91 Airbles Road,  ML1 2TN, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","Motherwell Petroleum Services Ltd","Active"
"7111","44 niddrie mains road,  EH16 4BG, Scotland","Edinburgh City","Tobacco Only","motiya variety corner","Inactive"
"7112","Moto Kinross Motorway Services, M90 J6 KY13 0NQ, Scotland","Perth and Kinross","Tobacco And Nicotine Vapour Products","Moto Hospitality Ltd","Active"
"7113","Moto Stirling Motorway Services, PIRNHALL FK7 8EU, Scotland","Stirling","Tobacco And Nicotine Vapour Products","Moto Hospitality Ltd","Active"
"7114","Moto Kinross Motorway Services, M90 J6 KY13 0NQ, Scotland","Perth and Kinross","Tobacco And Nicotine Vapour Products","Moto Hospitality Ltd","Active"
"7115","Moto Stirling Motorway Services, PIRNHALL FK7 8EU, Scotland","Stirling","Tobacco And Nicotine Vapour Products","Moto Hospitality Ltd","Active"
"7116","40. MOUNT BLOW ROAD, CLYDEBANK G81 4NL, Scotland","West Dunbartonshire","Tobacco Only","MOUNT BLOW SUPER STORE","Active"
"7117","22 drumcavel road,  G69 8DB, Scotland","North Lanarkshire","Tobacco Only","Mount Ellen Store","Inactive"
"7118","5 drumcavel road, Mount Ellen G69 8DB, Scotland","North Lanarkshire","Tobacco Only","New mr Singh ltd","Inactive"
"7119","10, Mount Pleasant Street, Greenock, Renfrewshire PA15 4DD, Scotland","Inverclyde","Tobacco Only","Mount Pleasant Store","Inactive"
"7120","5 Drumcavel Road, Gartcosh G69 8DB, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","Amanpreet Singh","Active"
"7121","Mountfleurie Street, Leven KY8 4AF, Scotland","Fife","Tobacco And Nicotine Vapour Products","HMR Stores","Active"
"7122","29 mounthooly,  AB24 3NN, Scotland","Aberdeen City","Tobacco Only","mounthooly newsagent limited","Inactive"
"7123","Mounthooley Sports Bar, 70 Hutcheon Street AB25 3TB, Scotland","Aberdeen City","Tobacco Only","m.s.b [aberdeen] Ltd","Active"
"7124","18b Glasgow road,  G76 0JQ, Scotland","East Renfrewshire","Tobacco Only","C&M Kerr (wholesaler)","Active"
"7125","11-13 Westwood Square, Westwood G75 8JQ, Scotland","South Lanarkshire","Tobacco Only","Mr Chipz","Inactive"
"7126","97 High Street,  EH33 1LW, Scotland","East Lothian","Tobacco Only","Mr Crollas Take Away","Active"
"7127","139 Main Street,  EH37 5PT, Scotland","Midlothian","Tobacco Only","Mr John Singh","Active"
"7128","134 lumphinnans road,  KY5 9AT, Scotland","Fife","Tobacco And Nicotine Vapour Products","mr mac chippy ","Active"
"7129","65 Main Street,  KY5 9AF, Scotland","Fife","Tobacco Only","Mr Mac's Ltd","Inactive"
"7130","2 Station Road,  KY5 9QW, Scotland","Fife","Tobacco Only","Mr Mac's Ltd","Active"
"7131","133 Lothian Road,  EH3 9AB, Scotland","Edinburgh City","Tobacco Only","Cherwell Tobacco","Inactive"
"7132","135 Main Street Camelon ,  FK1 4DS, Scotland","Falkirk","Nicotine Vapour Products Only","Mr motivapor","Active"
"7133","old hermitage, haugh of urr DG7 3LQ, Scotland","Dumfries and Galloway","Tobacco Only","mr m's ices and essentials","Active"
"7134","45 Galloway Street,  DG2 7TH, Scotland","Dumfries and Galloway","Tobacco Only","Mr News","Active"
"7135","540 SAUCHIEHALL STREET,  G2 3LX, Scotland","Glasgow City","Tobacco Only","mn scotland limited","Active"
"7136","75 Renfield Street,  G2 1LP, Scotland","Glasgow City","Tobacco Only","Mr News","Active"
"7137","31 Eastside,  G66 1QA, Scotland","East Dunbartonshire","Tobacco Only","Mr News","Active"
"7138","75 Main Street,  ML5 3EH, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","Closer","Active"
"7139","108-112 Friars Vennel,  DG1 2RE, Scotland","Dumfries and Galloway","Tobacco And Nicotine Vapour Products","Mr News","Active"
"7140","Kof Convenience, 2056 Dumbarton Road G14 0HT, Scotland","Glasgow City","Tobacco And Nicotine Vapour Products","kof convenience store","Active"
"7141","20, flaming avenue G53 1AJ, Scotland","Glasgow City","Tobacco Only","az&bbq","Active"
"7142","20A Fleming Avenue,  G81 1AJ, Scotland","West Dunbartonshire","Tobacco And Nicotine Vapour Products","Masala twist","Active"
"7143","15 redhills view,  G66 7BL, Scotland","East Dunbartonshire, Glasgow City","Tobacco Only","capogelato","Active"
"7144","Mr. Ohm Shop, 15 Bridge Street KY12 8AQ, Scotland","Fife","Nicotine Vapour Products Only","MER (Scotland) Limited","Active"
"7145","75 Main Street, Coatbridge ML5 3EH, Scotland","North Lanarkshire","Tobacco Only","Mr.News limited","Active"
"7146","1345 Springburn Rd, Glasgow G21 1LZ, Scotland","Glasgow City","Tobacco Only","Malthurst Petroleum","Active"
"7147","13H5 Springburn Road,  G21 1UU, Scotland","Glasgow City","Tobacco Only","MRH Retail","Active"
"7148","21-23 Barclay Place,  EH10 4HW, Scotland","Edinburgh City","Tobacco And Nicotine Vapour Products","Stuffs24 Retail","Active"
"7149","1 Belziehill Road, Bellshill ML4 3JG, Scotland","North Lanarkshire","Tobacco Only","Malthurst Petroleum","Inactive"
"7150","1 Belziehill Road,  ML4 3PD, Scotland","North Lanarkshire","Tobacco Only","Spruce Retail Fuels Ltd","Inactive"
"7151","North Road,  PH33 6TQ, Scotland","Highland","Tobacco Only","Malthurst Petroleum","Inactive"
"7152","North Road, Fort William PH33 6TQ, Scotland","Highland","Tobacco Only","Kathryn Masson & KMBSS (Ben Service Station)","Inactive"
"7153","Wellheads Road, Farburn Industrial Estate AB21 7HG, Scotland","Aberdeen City","Tobacco Only","RK Retail Ltd","Inactive"
"7154","British Petroleum Co plc, Gretna Service Area DG16 5HQ, Scotland","Dumfries and Galloway","Tobacco And Nicotine Vapour Products","kdservices","Active"
"7155","BP Imperial, 1 Regent PA15 4TH, Scotland","Inverclyde","Tobacco Only","AR Private Limited","Inactive"
"7156","661-677 King Street,  AB24 1SD, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","AKG Retail Ltd","Active"
"7157","Ellon Rd, Bridge of Don,  AB23 8BA, Scotland","Aberdeen City","Tobacco Only","Malthurst Petroleum","Inactive"
"7158","Ellon Road,  AB23 8BA, Scotland","Aberdeen City","Tobacco And Nicotine Vapour Products","CS (PVT) ltd","Active"
"7159","91 Burnbank Road,  ML3 9AN, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","Anaghaa Ltd","Inactive"
"7160","239 Stonelaw Road,  G73 3RJ, Scotland","South Lanarkshire","Tobacco Only","Shamini Logendran","Inactive"
"7161","BP Service Station, 241 Stonelaw Road, Rutherglen G73 3RJ, Scotland","South Lanarkshire","Tobacco And Nicotine Vapour Products","MRH Burnside ","Active"
"7162","215 Merry Street, Motherwell ML1 1LN, Scotland","North Lanarkshire","Tobacco And Nicotine Vapour Products","Malthurst Ltd","Active"
"7163","87 Stewartson Street,  ML8 5BY, Scotland","South Lanarkshire","Tobacco Only","Sri Sai Ltd.","Inactive"
"7164","Carmondean Center Road,  EH54 8PT, Scotland","West Lothian","Tobacco And Nicotine Vapour Products","Aadya Forecourts ltd","Active"
"7165","Carron Road,  FK2 7SW, Scotland","Falkirk","Tobacco Only","Malthurst Petroleum","Inactive"
"7166","Esso Service Station, Carron Road FK2 7SW, Scotland","Falkirk","Tobacco Only","G.T. Station Retail","Inactive"
"7167","33 Coatbank Street, Coatbridge ML5 3SP, Scotland","North Lanarkshire","Tobacco Only","Malthurst Petroleum","Active"
"7168","33 Coatbridge Street,  ML5 3SP, Scotland","North Lanarkshire","Tobacco Only","Spruce Retail Fuels Ltd","Active"
"7169","Craigs Roundabout, Stirling FK7 7NU, Scotland","Stirling","Tobacco Only","Malthurst Petroleum","Inactive"
"7170","Craigs Roundabout,  FK7 7NG, Scotland","Stirling","Tobacco And Nicotine Vapour Products","Stuffs24 Retail","Active"
"7171","90 Dean Road,  EH51 0DL, Scotland","Falkirk","Tobacco And Nicotine Vapour Products","Stuffs24 Retail","Active"
"7172","Maxwell Street, Dalbeattie DG5 4AH, Scotland","Dumfries and Galloway","Tobacco Only","Malthurst Petroleum","Active"
"7173","7 Maxwell Street,  DG5 4AH, Scotland","Dumfries and Galloway","Tobacco Only","Maxwells Cabs Ltd","Active"
"7174","377 Dalmarnock Rd, Glasgow G40 4TY, Scotland","Glasgow City","Tobacco Only","Malthurst Petroleum","Active"
"7175","377 Dalmarnock Road, Dalmarnock G40 4TU, Scotland","Glasgow City","Tobacco Only","RCL Fuel","Active"
"7176","Dirleton Road, North Berwick EH39 5DF, Scotland","East Lothian","Tobacco And Nicotine Vapour Products","Malthurst Petroleum","Active"
"7177","Stirling Road,  FK17 8LE, Scotland","Stirling","Tobacco Only","Twenty Four Seven","Active"
"7178","91 Eastwoodmains Road, Clarkston G76 7HG, Scotland","East Renfrewshire","Tobacco And Nicotine Vapour Products","A&L Retail (Scotland) Ltd","Active"
"7179","94 Carlisle Road,  ML6 8RA, Scotland","North Lanarkshire","Tobacco Only","Maxwells(GB)Limited","Inactive"
"7180","Dumbarton Road,Milton, Dumbarton G82 2TY, Scotland","West Dunbartonshire","Tobacco Only","Malthurst Petroleum","Active"
"7181","1 Dumbarton Road, Milton G82 2TY, Scotland","Glasgow City","Tobacco Only","Campbell Filling Stations","Active"
"7182","Wellhall Rd,  ML3 9UE, Scotland","South Lanarkshire","Tobacco Only","Malthurst Petroleum","Inactive"
"7183","Main Road, Elderslie ML3 9UE, Scotland","South Lanarkshire","Tobacco Only","Ibrox Service Station","Active"
"7184","Esso, 237-239 Main Road, Elderslie PA5 9EN, Scotland","Renfrewshire","Tobacco And Nicotine Vapour Products","Oncall Retail LTD","Active"
"7185","MRH ESSO Kelvinside, 900 Maryhill Road G20 7TA, Scotland","Glasgow City","Tobacco Only","AR Private Limited","Active"
